,model,n_reference_groups,n_positive,n_negative,train_accuracy,test_accuracy,precision,recall,training_time,inference_time,embedding
110,RidgeClassifier(),60,5,5,1.0,0.7407936507936509,0.21506467256627326,0.8666666666666667,0.0019112745920817056,0.0002982854843139648,specter
111,SVC(),60,5,5,1.0,0.7873015873015874,0.2862283484904997,0.8033333333333335,0.000523066520690918,0.00101927916208903,specter
112,RandomForestClassifier(),60,5,5,1.0,0.7295238095238095,0.19407121885760628,0.81,0.14506802956263223,0.02388340632120768,specter
113,KNeighborsClassifier(n_neighbors=3),60,5,5,0.818333333333333,0.5703174603174602,0.1324288972280499,0.8966666666666665,0.00028865734736124675,0.00525970458984375,specter
114,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.00020529826482137045,8.785327275594076e-05,specter
115,LogisticRegression(),57,10,10,0.9491666666666667,0.763787878787879,0.3394203205650511,0.838333333333333,0.010677448908487956,0.000592203934987386,specter
116,RidgeClassifier(),57,10,10,0.9491666666666667,0.7522727272727274,0.32150684608513097,0.8283333333333331,0.002929095427195231,0.0005255421002705892,specter
117,SVC(),57,10,10,0.9483333333333334,0.8325757575757577,0.47462871841179777,0.8033333333333332,0.0006512204806009928,0.0017940719922383626,specter
118,RandomForestClassifier(),57,10,10,0.9491666666666667,0.7654545454545458,0.3443348975502457,0.8266666666666665,0.14281937678654988,0.022846821943918863,specter
119,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8008333333333332,0.5780303030303029,0.20488773876014763,0.8649999999999998,0.0002708236376444499,0.005395352840423584,specter
120,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.0001864473025004069,8.120139439900716e-05,specter
121,LogisticRegression(),50,20,20,0.8320833333333334,0.6918055555555557,0.43945848403038656,0.7625000000000003,0.02074365218480428,0.000349120299021403,specter
